image_name,augmentation_type,mean_r,std_r,mean_g,std_g,mean_b,std_b,edge_magnitude,hist_r_0,hist_r_1,hist_r_2,hist_r_3,hist_r_4,hist_r_5,hist_r_6,hist_r_7,hist_r_8,hist_r_9,hist_r_10,hist_r_11,hist_r_12,hist_r_13,hist_r_14,hist_r_15,hist_r_16,hist_r_17,hist_r_18,hist_r_19,hist_r_20,hist_r_21,hist_r_22,hist_r_23,hist_r_24,hist_r_25,hist_r_26,hist_r_27,hist_r_28,hist_r_29,hist_r_30,hist_r_31,hist_g_0,hist_g_1,hist_g_2,hist_g_3,hist_g_4,hist_g_5,hist_g_6,hist_g_7,hist_g_8,hist_g_9,hist_g_10,hist_g_11,hist_g_12,hist_g_13,hist_g_14,hist_g_15,hist_g_16,hist_g_17,hist_g_18,hist_g_19,hist_g_20,hist_g_21,hist_g_22,hist_g_23,hist_g_24,hist_g_25,hist_g_26,hist_g_27,hist_g_28,hist_g_29,hist_g_30,hist_g_31,hist_b_0,hist_b_1,hist_b_2,hist_b_3,hist_b_4,hist_b_5,hist_b_6,hist_b_7,hist_b_8,hist_b_9,hist_b_10,hist_b_11,hist_b_12,hist_b_13,hist_b_14,hist_b_15,hist_b_16,hist_b_17,hist_b_18,hist_b_19,hist_b_20,hist_b_21,hist_b_22,hist_b_23,hist_b_24,hist_b_25,hist_b_26,hist_b_27,hist_b_28,hist_b_29,hist_b_30,hist_b_31
IMG_1096_original,original,101.966796875,75.80055808211641,90.68310546875,68.70737078736396,71.70697021484375,53.81996500423175,128.4824020113158,1111.0,1580.0,1677.0,852.0,620.0,441.0,308.0,324.0,401.0,235.0,176.0,184.0,174.0,208.0,244.0,271.0,274.0,414.0,645.0,948.0,974.0,832.0,753.0,666.0,536.0,439.0,370.0,258.0,170.0,131.0,57.0,111.0,892.0,1125.0,1729.0,1882.0,985.0,458.0,284.0,230.0,190.0,232.0,235.0,265.0,242.0,289.0,366.0,723.0,932.0,871.0,680.0,716.0,605.0,460.0,361.0,328.0,287.0,256.0,230.0,164.0,114.0,120.0,71.0,62.0,606.0,1182.0,1584.0,1554.0,1497.0,830.0,437.0,346.0,540.0,1010.0,1154.0,909.0,787.0,615.0,486.0,478.0,414.0,377.0,259.0,237.0,164.0,123.0,89.0,87.0,71.0,59.0,84.0,79.0,81.0,65.0,79.0,101.0
IMG_1096_rotated,rotation_15deg,90.42803955078125,79.03697678078832,80.78131103515625,71.4082917503497,64.48876953125,56.03231638389869,126.84301750896698,2697.0,1491.0,1646.0,840.0,626.0,350.0,198.0,227.0,353.0,228.0,133.0,113.0,121.0,165.0,209.0,219.0,258.0,296.0,551.0,818.0,852.0,734.0,704.0,625.0,509.0,411.0,353.0,253.0,158.0,113.0,69.0,64.0,2515.0,1039.0,1652.0,1783.0,892.0,385.0,222.0,184.0,159.0,162.0,175.0,202.0,226.0,221.0,307.0,596.0,794.0,722.0,661.0,624.0,568.0,444.0,334.0,304.0,284.0,246.0,189.0,168.0,128.0,96.0,45.0,57.0,2248.0,1021.0,1488.0,1367.0,1471.0,717.0,376.0,255.0,417.0,865.0,969.0,858.0,752.0,583.0,412.0,417.0,389.0,309.0,258.0,209.0,157.0,103.0,103.0,70.0,52.0,56.0,64.0,75.0,73.0,67.0,86.0,97.0
IMG_1096_flipped,horizontal_flip,101.966796875,75.80055808211641,90.68310546875,68.70737078736396,71.70697021484375,53.81996500423175,128.4824020113158,1111.0,1580.0,1677.0,852.0,620.0,441.0,308.0,324.0,401.0,235.0,176.0,184.0,174.0,208.0,244.0,271.0,274.0,414.0,645.0,948.0,974.0,832.0,753.0,666.0,536.0,439.0,370.0,258.0,170.0,131.0,57.0,111.0,892.0,1125.0,1729.0,1882.0,985.0,458.0,284.0,230.0,190.0,232.0,235.0,265.0,242.0,289.0,366.0,723.0,932.0,871.0,680.0,716.0,605.0,460.0,361.0,328.0,287.0,256.0,230.0,164.0,114.0,120.0,71.0,62.0,606.0,1182.0,1584.0,1554.0,1497.0,830.0,437.0,346.0,540.0,1010.0,1154.0,909.0,787.0,615.0,486.0,478.0,414.0,377.0,259.0,237.0,164.0,123.0,89.0,87.0,71.0,59.0,84.0,79.0,81.0,65.0,79.0,101.0
IMG_1096_grayscale,grayscale,91.90863037109375,68.42934107850644,91.90863037109375,68.42934107850644,91.90863037109375,68.42934107850644,128.487562936727,872.0,1117.0,1732.0,1708.0,905.0,577.0,354.0,199.0,216.0,210.0,214.0,247.0,253.0,251.0,369.0,653.0,937.0,951.0,763.0,703.0,650.0,482.0,394.0,353.0,311.0,265.0,221.0,159.0,113.0,106.0,70.0,29.0,872.0,1117.0,1732.0,1708.0,905.0,577.0,354.0,199.0,216.0,210.0,214.0,247.0,253.0,251.0,369.0,653.0,937.0,951.0,763.0,703.0,650.0,482.0,394.0,353.0,311.0,265.0,221.0,159.0,113.0,106.0,70.0,29.0,872.0,1117.0,1732.0,1708.0,905.0,577.0,354.0,199.0,216.0,210.0,214.0,247.0,253.0,251.0,369.0,653.0,937.0,951.0,763.0,703.0,650.0,482.0,394.0,353.0,311.0,265.0,221.0,159.0,113.0,106.0,70.0,29.0
IMG_1096_bright,brightness_increase,154.8929443359375,88.46444495675462,142.96826171875,81.35167222458423,120.47308349609375,62.90820315765866,141.29364129494937,0.0,0.0,0.0,155.0,935.0,1103.0,1420.0,1082.0,555.0,494.0,387.0,262.0,231.0,249.0,318.0,235.0,164.0,133.0,132.0,136.0,140.0,171.0,184.0,202.0,215.0,222.0,317.0,442.0,634.0,794.0,770.0,4302.0,0.0,0.0,0.0,53.0,828.0,780.0,1194.0,1406.0,1440.0,782.0,431.0,273.0,196.0,174.0,161.0,155.0,179.0,188.0,193.0,196.0,199.0,221.0,277.0,460.0,676.0,732.0,659.0,532.0,532.0,559.0,484.0,2424.0,0.0,0.0,0.0,73.0,520.0,838.0,1182.0,1220.0,1152.0,1181.0,884.0,381.0,314.0,250.0,369.0,643.0,822.0,880.0,709.0,630.0,579.0,450.0,364.0,376.0,352.0,308.0,307.0,217.0,185.0,173.0,130.0,895.0
IMG_1096_blurred,gaussian_blur,101.96197509765625,75.27081449377322,90.6817626953125,68.10089018910953,71.6995849609375,53.08509723694464,123.41836727459014,1046.0,1590.0,1709.0,823.0,638.0,436.0,313.0,306.0,427.0,249.0,192.0,169.0,177.0,229.0,220.0,287.0,281.0,380.0,614.0,1025.0,968.0,818.0,757.0,685.0,562.0,464.0,353.0,263.0,172.0,107.0,84.0,40.0,843.0,1074.0,1757.0,1928.0,986.0,440.0,303.0,224.0,206.0,229.0,245.0,251.0,261.0,283.0,346.0,682.0,1014.0,832.0,684.0,748.0,602.0,485.0,364.0,350.0,297.0,261.0,219.0,158.0,135.0,83.0,56.0,38.0,531.0,1158.0,1700.0,1496.0,1531.0,808.0,440.0,331.0,478.0,1094.0,1112.0,931.0,806.0,625.0,475.0,492.0,451.0,385.0,280.0,243.0,150.0,127.0,98.0,68.0,63.0,60.0,77.0,80.0,68.0,69.0,83.0,74.0
Irais_neutral_original,original,94.27264404296875,73.60407765705216,86.59503173828125,67.15906194834186,74.3037109375,53.90423837640117,115.87706670293944,1400.0,1960.0,1723.0,911.0,449.0,274.0,256.0,372.0,297.0,208.0,168.0,209.0,234.0,306.0,321.0,354.0,402.0,532.0,854.0,800.0,806.0,743.0,710.0,633.0,432.0,372.0,212.0,177.0,99.0,63.0,63.0,44.0,953.0,1052.0,1988.0,1964.0,843.0,475.0,345.0,264.0,227.0,261.0,309.0,322.0,313.0,312.0,394.0,661.0,747.0,669.0,727.0,744.0,629.0,476.0,353.0,277.0,264.0,188.0,183.0,155.0,120.0,94.0,46.0,29.0,544.0,914.0,1198.0,1485.0,1775.0,1213.0,574.0,437.0,409.0,746.0,907.0,936.0,852.0,740.0,608.0,550.0,493.0,351.0,310.0,223.0,178.0,120.0,119.0,90.0,73.0,52.0,44.0,53.0,79.0,87.0,88.0,136.0
Irais_neutral_rotated,rotation_15deg,82.25341796875,75.45446528265194,75.50384521484375,68.6649846149218,65.12542724609375,55.25604311494609,110.4317238023769,2938.0,1732.0,1766.0,892.0,452.0,258.0,239.0,376.0,304.0,168.0,182.0,159.0,178.0,226.0,249.0,215.0,312.0,381.0,720.0,669.0,735.0,729.0,639.0,562.0,433.0,295.0,215.0,142.0,83.0,50.0,49.0,36.0,2582.0,901.0,1849.0,1950.0,830.0,482.0,329.0,257.0,201.0,218.0,267.0,259.0,223.0,210.0,253.0,509.0,546.0,608.0,674.0,745.0,598.0,437.0,312.0,255.0,229.0,151.0,143.0,112.0,108.0,68.0,52.0,26.0,2247.0,798.0,1066.0,1379.0,1753.0,1219.0,536.0,325.0,323.0,578.0,699.0,769.0,798.0,638.0,550.0,541.0,434.0,350.0,252.0,207.0,143.0,119.0,84.0,71.0,56.0,48.0,35.0,58.0,50.0,57.0,77.0,124.0
Irais_neutral_flipped,horizontal_flip,94.27264404296875,73.60407765705216,86.59503173828125,67.15906194834186,74.3037109375,53.90423837640117,115.87706670293944,1400.0,1960.0,1723.0,911.0,449.0,274.0,256.0,372.0,297.0,208.0,168.0,209.0,234.0,306.0,321.0,354.0,402.0,532.0,854.0,800.0,806.0,743.0,710.0,633.0,432.0,372.0,212.0,177.0,99.0,63.0,63.0,44.0,953.0,1052.0,1988.0,1964.0,843.0,475.0,345.0,264.0,227.0,261.0,309.0,322.0,313.0,312.0,394.0,661.0,747.0,669.0,727.0,744.0,629.0,476.0,353.0,277.0,264.0,188.0,183.0,155.0,120.0,94.0,46.0,29.0,544.0,914.0,1198.0,1485.0,1775.0,1213.0,574.0,437.0,409.0,746.0,907.0,936.0,852.0,740.0,608.0,550.0,493.0,351.0,310.0,223.0,178.0,120.0,119.0,90.0,73.0,52.0,44.0,53.0,79.0,87.0,88.0,136.0
Irais_neutral_grayscale,grayscale,87.51092529296875,66.88669766832498,87.51092529296875,66.88669766832498,87.51092529296875,66.88669766832498,115.85624972283598,969.0,1094.0,1996.0,1762.0,844.0,491.0,341.0,232.0,232.0,238.0,263.0,323.0,324.0,329.0,396.0,672.0,828.0,694.0,757.0,751.0,659.0,490.0,368.0,308.0,258.0,201.0,184.0,146.0,113.0,85.0,30.0,6.0,969.0,1094.0,1996.0,1762.0,844.0,491.0,341.0,232.0,232.0,238.0,263.0,323.0,324.0,329.0,396.0,672.0,828.0,694.0,757.0,751.0,659.0,490.0,368.0,308.0,258.0,201.0,184.0,146.0,113.0,85.0,30.0,6.0,969.0,1094.0,1996.0,1762.0,844.0,491.0,341.0,232.0,232.0,238.0,263.0,323.0,324.0,329.0,396.0,672.0,828.0,694.0,757.0,751.0,659.0,490.0,368.0,308.0,258.0,201.0,184.0,146.0,113.0,85.0,30.0,6.0
